"Portfolio","Sigma_Anuual","Risk_Annual","Risk_Annual_Idio","SR_Annual","SR_Annual_Idio","Return_Anuual","Return_Cum","MaxDD","Beta","Alpha_Annual"
"EW","18.00%","17.48%","5.17%","0.332","0.002","5.94%","32.93%","27.01%","0.873","0.01%"
"Factor","18.00%","13.86%","10.30%","0.443","0.284","6.90%","39.03%","17.69%","0.485","2.93%"
"MAXSER","18.00%","18.75%","16.35%","0.764","0.682","15.09%","100.10%","28.28%","0.480","11.15%"
"MAXSER_Fac_Constraint","18.00%","18.50%","16.14%","0.825","0.752","16.22%","110.04%","26.83%","0.472","12.13%"
"MAXSER_H","18.00%","17.88%","16.10%","0.891","0.823","17.14%","118.38%","26.96%","0.406","13.25%"
"MAXSER_Stock_Long_Only","18.00%","17.94%","15.02%","0.957","0.917","18.58%","131.89%","17.69%","0.513","13.77%"
"MAXSER_ALL_Long_Only","18.00%","20.05%","14.54%","1.213","1.344","26.85%","223.51%","21.59%","0.722","19.53%"
"MAXSER_H_Stock_Long_Only","18.00%","17.10%","14.83%","0.856","0.788","15.79%","106.22%","23.67%","0.445","11.69%"
"MAXSER_H_ALL_Long_Only","18.00%","22.69%","16.39%","0.899","0.913","21.30%","159.42%","30.72%","0.820","14.97%"
"SSE","18.00%","16.81%","7.43%","0.121","-0.429","2.14%","11.03%","30.77%","0.788","-3.19%"
"SSE50","18.00%","19.13%","0.00%","0.347","0.000","6.49%","36.43%","28.87%","1.000","0.00%"
